-BEGIN HEADER-,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,
Dates (month/day/year): 01/01/2024 through 10/31/2024 ,,
Location: Latitude  24.1557   Longitude 90.9896 ,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.16 meters,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,
Parameter(s): ,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,
-END HEADER-,,
YEAR,DOY,PRECTOTCORR
2024,1,0.32
2024,2,1.15
2024,3,0
2024,4,0
2024,5,0
2024,6,0
2024,7,0
2024,8,0
2024,9,0
2024,10,0
2024,11,0
2024,12,0
2024,13,0
2024,14,0
2024,15,0
2024,16,0
2024,17,0
2024,18,0.2
2024,19,0.23
2024,20,1.89
2024,21,0
2024,22,0
2024,23,0.06
2024,24,0.28
2024,25,0.31
2024,26,0
2024,27,0
2024,28,0
2024,29,0
2024,30,0
2024,31,0.07
2024,32,0.34
2024,33,0.48
2024,34,0.08
2024,35,0
2024,36,0
2024,37,0
2024,38,0
2024,39,0
2024,40,0
2024,41,0
2024,42,0
2024,43,0
2024,44,0
2024,45,0
2024,46,0.06
2024,47,0.06
2024,48,0
2024,49,0
2024,50,0
2024,51,0.47
2024,52,3.73
2024,53,31.96
2024,54,5.55
2024,55,0.15
2024,56,0.35
2024,57,0
2024,58,0
2024,59,0
2024,60,0
2024,61,0
2024,62,0
2024,63,0.04
2024,64,0.24
2024,65,0.06
2024,66,0
2024,67,0
2024,68,0
2024,69,0
2024,70,0
2024,71,0
2024,72,0
2024,73,0.03
2024,74,4.09
2024,75,4.05
2024,76,5.69
2024,77,0.07
2024,78,0.12
2024,79,1.97
2024,80,0.73
2024,81,2.22
2024,82,2.05
2024,83,12.68
2024,84,10.88
2024,85,13.67
2024,86,10.41
2024,87,0.41
2024,88,4.63
2024,89,5.8
2024,90,20.23
2024,91,22.31
2024,92,7.98
2024,93,2.18
2024,94,2.17
2024,95,1.41
2024,96,0.58
2024,97,1.88
2024,98,2.27
2024,99,0
2024,100,0
2024,101,0
2024,102,0
2024,103,0
2024,104,0
2024,105,0.01
